#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " You need to know the story of your great - grandfather 's demise . 
1-1	0-4	Zuko	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	You	_	_	*->1-1	*[1]
1-6	18-22	need	_	_	_	_
1-7	23-25	to	_	_	_	_
1-8	26-30	know	_	_	_	_
1-9	31-34	the	_	_	*->2-1	*[2]
1-10	35-40	story	_	_	*->2-1	*[2]
1-11	41-43	of	_	_	*->2-1	*[2]
1-12	44-48	your	_	_	*->1-2	*[1]
1-13	49-54	great	_	_	*->2-1	*[2]
1-14	55-56	-	_	_	*->2-1	*[2]
1-15	57-68	grandfather	_	_	*->2-1	*[2]
1-16	69-71	's	_	_	*->2-1	*[2]
1-17	72-78	demise	_	_	*->2-1	*[2]
1-18	79-80	.	_	_	_	_

#Text=It will reveal your own destiny . 
2-1	81-83	It	_	_	*->2-2	*[2]
2-2	84-88	will	_	_	_	_
2-3	89-95	reveal	_	_	_	_
2-4	96-100	your	_	_	*->1-3	*[1]
2-5	101-104	own	_	_	_	_
2-6	105-112	destiny	_	_	_	_
2-7	113-114	.	_	_	_	_

#Text=" 
3-1	115-116	"	_	_	_	_
