#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Roku says : " Waterbending was especially challenging for me . 
1-1	0-4	Roku	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-26	Waterbending	_	_	_	_
1-6	27-30	was	_	_	_	_
1-7	31-41	especially	_	_	_	_
1-8	42-53	challenging	_	_	_	_
1-9	54-57	for	_	_	_	_
1-10	58-60	me	_	_	*->1-2	*[1]
1-11	61-62	.	_	_	_	_

#Text=But in time , I mastered it as well . 
2-1	63-66	But	_	_	_	_
2-2	67-69	in	_	_	_	_
2-3	70-74	time	_	_	*->2-1	*[2]
2-4	75-76	,	_	_	_	_
2-5	77-78	I	_	_	*->1-3	*[1]
2-6	79-87	mastered	_	_	_	_
2-7	88-90	it	_	_	*->2-2	*[2]
2-8	91-93	as	_	_	_	_
2-9	94-98	well	_	_	_	_
2-10	99-100	.	_	_	_	_

#Text=" 
3-1	101-102	"	_	_	_	_
