#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Sozin says : " Excuse me . 
1-1	0-5	Sozin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-21	Excuse	_	_	_	_
1-6	22-24	me	_	_	*->1-2	*[1]
1-7	25-26	.	_	_	_	_

#Text=May I borrow him for a moment ? 
2-1	27-30	May	_	_	_	_
2-2	31-32	I	_	_	*->1-3	*[1]
2-3	33-39	borrow	_	_	_	_
2-4	40-43	him	_	_	_	_
2-5	44-47	for	_	_	_	_
2-6	48-49	a	_	_	_	_
2-7	50-56	moment	_	_	_	_
2-8	57-58	?	_	_	_	_

#Text=" Ta Min says : " It 's not very traditional , but , okay . 
3-1	59-60	"	_	_	_	_
3-2	61-63	Ta	_	_	*->2-1	*[2]
3-3	64-67	Min	_	_	_	_
3-4	68-72	says	_	_	_	_
3-5	73-74	:	_	_	_	_
3-6	75-76	"	_	_	_	_
3-7	77-79	It	_	_	*->2-2	*[2]
3-8	80-82	's	_	_	_	_
3-9	83-86	not	_	_	_	_
3-10	87-91	very	_	_	_	_
3-11	92-103	traditional	_	_	_	_
3-12	104-105	,	_	_	_	_
3-13	106-109	but	_	_	_	_
3-14	110-111	,	_	_	_	_
3-15	112-116	okay	_	_	_	_
3-16	117-118	.	_	_	_	_

#Text=" 
4-1	119-120	"	_	_	_	_
