#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " That 's enough ! 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	That	_	_	*->1-1	*[1]
1-6	19-21	's	_	_	_	_
1-7	22-28	enough	_	_	_	_
1-8	29-30	!	_	_	_	_

#Text=We need to get to the next one ! 
2-1	31-33	We	_	_	*->1-2	*[1]
2-2	34-38	need	_	_	_	_
2-3	39-41	to	_	_	_	_
2-4	42-45	get	_	_	_	_
2-5	46-48	to	_	_	_	_
2-6	49-52	the	_	_	_	_
2-7	53-57	next	_	_	_	_
2-8	58-61	one	_	_	_	_
2-9	62-63	!	_	_	_	_

#Text=" 
3-1	64-65	"	_	_	_	_
