#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Suki says : " Well , we made it out . 
1-1	0-4	Suki	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Well	_	_	_	_
1-6	19-20	,	_	_	_	_
1-7	21-23	we	_	_	_	_
1-8	24-28	made	_	_	_	_
1-9	29-31	it	_	_	_	_
1-10	32-35	out	_	_	_	_
1-11	36-37	.	_	_	_	_

#Text=Now what ? 
2-1	38-41	Now	_	_	_	_
2-2	42-46	what	_	_	_	_
2-3	47-48	?	_	_	_	_

#Text=" Sokka says : " Zuko , what are you doing ? 
3-1	49-50	"	_	_	_	_
3-2	51-56	Sokka	_	_	*->3-1	*[3]
3-3	57-61	says	_	_	_	_
3-4	62-63	:	_	_	_	_
3-5	64-65	"	_	_	_	_
3-6	66-70	Zuko	*	PER	*->2-1	*[2]
3-7	71-72	,	_	_	_	_
3-8	73-77	what	_	_	_	_
3-9	78-81	are	_	_	_	_
3-10	82-85	you	_	_	*->1-2	*[1]
3-11	86-91	doing	_	_	_	_
3-12	92-93	?	_	_	_	_

#Text=" Zuko says : " My sister was on that island . 
4-1	94-95	"	_	_	_	_
4-2	96-100	Zuko	*	PER	*->2-2	*[2]
4-3	101-105	says	_	_	_	_
4-4	106-107	:	_	_	_	_
4-5	108-109	"	_	_	_	_
4-6	110-112	My	_	_	*->2-3	*[2]
4-7	113-119	sister	_	_	_	_
4-8	120-123	was	_	_	_	_
4-9	124-126	on	_	_	_	_
4-10	127-131	that	_	_	_	_
4-11	132-138	island	_	_	_	_
4-12	139-140	.	_	_	_	_

#Text=" Sokka says : " Yeah , and she 's probably right behind us , so let 's not stop ! 
5-1	141-142	"	_	_	_	_
5-2	143-148	Sokka	_	_	*->3-2	*[3]
5-3	149-153	says	_	_	_	_
5-4	154-155	:	_	_	_	_
5-5	156-157	"	_	_	_	_
5-6	158-162	Yeah	_	_	_	_
5-7	163-164	,	_	_	_	_
5-8	165-168	and	_	_	_	_
5-9	169-172	she	_	_	*->2-4	*[2]
5-10	173-175	's	_	_	_	_
5-11	176-184	probably	_	_	_	_
