#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Azula says : " Anyone who harbors these traitors will face the wrath of the Fire Lord ! 
1-1	0-5	Azula	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-21	Anyone	_	_	_	_
1-6	22-25	who	_	_	_	_
1-7	26-33	harbors	_	_	_	_
1-8	34-39	these	_	_	_	_
1-9	40-48	traitors	_	_	_	_
1-10	49-53	will	_	_	_	_
1-11	54-58	face	_	_	_	_
1-12	59-62	the	_	_	_	_
1-13	63-68	wrath	_	_	_	_
1-14	69-71	of	_	_	_	_
1-15	72-75	the	_	_	_	_
1-16	76-80	Fire	_	_	_	_
1-17	81-85	Lord	_	_	_	_
1-18	86-87	!	_	_	_	_

#Text=There will be no place left to hide ! 
2-1	88-93	There	_	_	_	_
2-2	94-98	will	_	_	_	_
2-3	99-101	be	_	_	_	_
2-4	102-104	no	_	_	_	_
2-5	105-110	place	_	_	_	_
2-6	111-115	left	_	_	_	_
2-7	116-118	to	_	_	_	_
2-8	119-123	hide	_	_	_	_
2-9	124-125	!	_	_	_	_

#Text=" 
3-1	126-127	"	_	_	_	_
