#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Ugggh ! 
1-1	0-4	Zuko	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Ugggh	_	_	_	_
1-6	20-21	!	_	_	_	_

#Text=Get away from us ! 
2-1	22-25	Get	_	_	_	_
2-2	26-30	away	_	_	_	_
2-3	31-35	from	_	_	_	_
2-4	36-38	us	_	_	_	_
2-5	39-40	!	_	_	_	_

#Text=" 
3-1	41-42	"	_	_	_	_
