#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Katara says : " Water . 
1-1	0-6	Katara	*	PER	*->1-1	*[1]
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-21	Water	_	_	_	_
1-6	22-23	.	_	_	_	_

#Text=Earth . 
2-1	24-29	Earth	_	_	_	_
2-2	30-31	.	_	_	_	_

#Text=Fire . 
3-1	32-36	Fire	_	_	_	_
3-2	37-38	.	_	_	_	_

#Text=Air . 
4-1	39-42	Air	_	_	_	_
4-2	43-44	.	_	_	_	_

#Text=My grandmother used to tell me stories about the old days : a time of peace when the Avatar kept balance between the Water Tribes , Earth Kingdom , Fire Nation and Air Nomads . 
5-1	45-47	My	_	_	*->1-2	*[1]
5-2	48-59	grandmother	_	_	_	_
5-3	60-64	used	_	_	_	_
5-4	65-67	to	_	_	_	_
5-5	68-72	tell	_	_	_	_
5-6	73-75	me	_	_	*->1-3	*[1]
5-7	76-83	stories	_	_	_	_
5-8	84-89	about	_	_	_	_
5-9	90-93	the	_	_	_	_
5-10	94-97	old	_	_	_	_
5-11	98-102	days	_	_	_	_
5-12	103-104	:	_	_	_	_
5-13	105-106	a	_	_	_	_
5-14	107-111	time	_	_	_	_
5-15	112-114	of	_	_	_	_
5-16	115-120	peace	_	_	_	_
5-17	121-125	when	_	_	_	_
5-18	126-129	the	_	_	_	_
5-19	130-136	Avatar	_	_	_	_
5-20	137-141	kept	_	_	_	_
5-21	142-149	balance	_	_	_	_
5-22	150-157	between	_	_	_	_
5-23	158-161	the	_	_	_	_
5-24	162-167	Water	_	_	_	_
5-25	168-174	Tribes	_	_	_	_
5-26	175-176	,	_	_	_	_
5-27	177-182	Earth	_	_	_	_
5-28	183-190	Kingdom	_	_	_	_
5-29	191-192	,	_	_	_	_
5-30	193-197	Fire	_	_	_	_
5-31	198-204	Nation	_	_	_	_
5-32	205-208	and	_	_	_	_
5-33	209-212	Air	_	_	_	_
5-34	213-219	Nomads	_	_	_	_
5-35	220-221	.	_	_	_	_

#Text=But that all changed when the Fire Nation attacked . 
6-1	222-225	But	_	_	_	_
6-2	226-230	that	_	_	_	_
6-3	231-234	all	_	_	_	_
6-4	235-242	changed	_	_	_	_
