#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Yeah , I liked her too . 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Yeah	_	_	_	_
1-6	19-20	,	_	_	_	_
1-7	21-22	I	_	_	*->1-2	*[1]
1-8	23-28	liked	_	_	_	_
1-9	29-32	her	_	_	_	_
1-10	33-36	too	_	_	_	_
1-11	37-38	.	_	_	_	_

#Text=The village ! 
2-1	39-42	The	_	_	_	_
2-2	43-50	village	_	_	_	_
2-3	51-52	!	_	_	_	_

#Text=Appa , wait here . 
3-1	53-57	Appa	_	_	_	_
3-2	58-59	,	_	_	_	_
3-3	60-64	wait	_	_	_	_
3-4	65-69	here	_	_	_	_
3-5	70-71	.	_	_	_	_

#Text=" 
4-1	72-73	"	_	_	_	_
