#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Katara says : " Aang ! 
1-1	0-6	Katara	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-20	Aang	_	_	_	_
1-6	21-22	!	_	_	_	_

#Text=Aang ! 
2-1	23-27	Aang	_	_	*->1-1	*[1]
2-2	28-29	!	_	_	*->1-1	*[1]

#Text=Aang ! 
3-1	30-34	Aang	_	_	*->1-3	*[1]
3-2	35-36	!	_	_	*->1-3	*[1]

#Text=" 
4-1	37-38	"	_	_	_	_
