#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Katara says : " They 're waterbenders ! 
1-1	0-6	Katara	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-20	They	_	_	*->1-2	*[1]
1-6	21-24	're	_	_	_	_
1-7	25-37	waterbenders	_	_	*->1-1	*[1]
1-8	38-39	!	_	_	_	_

#Text=We found the Water Tribe ! 
2-1	40-42	We	_	_	_	_
2-2	43-48	found	_	_	_	_
2-3	49-52	the	_	_	_	_
2-4	53-58	Water	_	_	_	_
2-5	59-64	Tribe	_	_	_	_
2-6	65-66	!	_	_	_	_

#Text=" 
3-1	67-68	"	_	_	_	_
