#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Gyatso says : " One . 
1-1	0-6	Gyatso	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-19	One	_	_	_	_
1-6	20-21	.	_	_	_	_

#Text=Two . 
2-1	22-25	Two	_	_	_	_
2-2	26-27	.	_	_	_	_

#Text=Three ! 
3-1	28-33	Three	_	_	_	_
3-2	34-35	!	_	_	_	_

#Text=" 
4-1	36-37	"	_	_	_	_
