#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ozai says : " Come on out , little boy . 
1-1	0-4	Ozai	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Come	_	_	_	_
1-6	19-21	on	_	_	_	_
1-7	22-25	out	_	_	_	_
1-8	26-27	,	_	_	_	_
1-9	28-34	little	_	_	_	_
1-10	35-38	boy	_	_	_	_
1-11	39-40	.	_	_	_	_

#Text=You 're about to be ... " 
2-1	41-44	You	_	_	_	_
2-2	45-48	're	_	_	_	_
2-3	49-54	about	_	_	_	_
2-4	55-57	to	_	_	_	_
2-5	58-60	be	_	_	_	_
2-6	61-64	...	_	_	_	_
2-7	65-66	"	_	_	_	_
