#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Where are they going ? 
1-1	0-4	Zuko	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Where	_	_	_	_
1-6	20-23	are	_	_	_	_
1-7	24-28	they	_	_	*->1-1	*[1]
1-8	29-34	going	_	_	_	_
1-9	35-36	?	_	_	_	_

#Text=They 're coming up for air somewhere . 
2-1	37-41	They	_	_	*->1-2	*[1]
2-2	42-45	're	_	_	_	_
2-3	46-52	coming	_	_	_	_
2-4	53-55	up	_	_	_	_
2-5	56-59	for	_	_	_	_
2-6	60-63	air	_	_	_	_
2-7	64-73	somewhere	_	_	_	_
2-8	74-75	.	_	_	_	_

#Text=" 
3-1	76-77	"	_	_	_	_
