#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Sokka says : " Zuko , I do n't wan na tell you how to do your job , but why are we heading towards the Earth Kingdom ? 
1-1	0-5	Sokka	_	_	*->2-1	*[2]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Zuko	*	PER	_	_
1-6	20-21	,	_	_	_	_
1-7	22-23	I	_	_	*->2-2	*[2]
1-8	24-26	do	_	_	_	_
1-9	27-30	n't	_	_	_	_
1-10	31-34	wan	_	_	_	_
1-11	35-37	na	_	_	_	_
1-12	38-42	tell	_	_	_	_
1-13	43-46	you	_	_	*->3-1	*[3]
1-14	47-50	how	_	_	_	_
1-15	51-53	to	_	_	_	_
1-16	54-56	do	_	_	_	_
1-17	57-61	your	_	_	*->3-2	*[3]
1-18	62-65	job	_	_	_	_
1-19	66-67	,	_	_	_	_
1-20	68-71	but	_	_	_	_
1-21	72-75	why	_	_	_	_
1-22	76-79	are	_	_	_	_
1-23	80-82	we	_	_	_	_
1-24	83-90	heading	_	_	_	_
1-25	91-98	towards	_	_	_	_
1-26	99-102	the	_	_	*->4-1	*[4]
1-27	103-108	Earth	_	_	*->4-1	*[4]
1-28	109-116	Kingdom	_	_	*->4-1	*[4]
1-29	117-118	?	_	_	_	_

#Text=There 's no way Aang 's there . 
2-1	119-124	There	_	_	_	_
2-2	125-127	's	_	_	_	_
2-3	128-130	no	_	_	_	_
2-4	131-134	way	_	_	_	_
2-5	135-139	Aang	*	PER	*->5-1	*[5]
2-6	140-142	's	_	_	*->5-1	*[5]
2-7	143-148	there	_	_	*->5-1	*[5]
2-8	149-150	.	_	_	_	_

#Text=" Zuko says : " Just trust me . 
3-1	151-152	"	_	_	_	_
3-2	153-157	Zuko	*	PER	_	_
3-3	158-162	says	_	_	_	_
3-4	163-164	:	_	_	_	_
3-5	165-166	"	_	_	_	_
3-6	167-171	Just	_	_	_	_
3-7	172-177	trust	_	_	_	_
3-8	178-180	me	_	_	_	_
3-9	181-182	.	_	_	_	_

#Text=" Azula says : " Come on slowpokes ! 
4-1	183-184	"	_	_	_	_
4-2	185-190	Azula	*	PER	_	_
4-3	191-195	says	_	_	_	_
4-4	196-197	:	_	_	_	_
4-5	198-199	"	_	_	_	_
4-6	200-204	Come	_	_	_	_
4-7	205-207	on	_	_	_	_
4-8	208-217	slowpokes	_	_	_	_
4-9	218-219	!	_	_	_	_

#Text=Faster ! 
5-1	220-226	Faster	_	_	_	_
5-2	227-228	!	_	_	_	_

#Text=" Azula says : " Sorry I 'm late , father . 
6-1	229-230	"	_	_	_	_
6-2	231-236	Azula	*	PER	_	_
6-3	237-241	says	_	_	_	_
6-4	242-243	:	_	_	_	_
6-5	244-245	"	_	_	_	_
6-6	246-251	Sorry	_	_	_	_
6-7	252-253	I	_	_	_	_
6-8	254-256	'm	_	_	_	_
6-9	257-261	late	_	_	_	_
6-10	262-263	,	_	_	_	_
6-11	264-270	father	_	_	_	_
6-12	271-272	.	_	_	_	_

#Text=Good palanquin bearers are so hard to come by these days . 
7-1	273-277	Good	_	_	_	_
7-2	278-287	palanquin	_	_	_	_
7-3	288-295	bearers	_	_	_	_
7-4	296-299	are	_	_	_	_
7-5	300-302	so	_	_	_	_
7-6	303-307	hard	_	_	_	_
7-7	308-310	to	_	_	_	_
7-8	311-315	come	_	_	_	_
7-9	316-318	by	_	_	_	_
7-10	319-324	these	_	_	_	_
7-11	325-329	days	_	_	_	_
7-12	330-331	.	_	_	_	_

#Text=So , is everything ready for our departure ? 
8-1	332-334	So	_	_	_	_
8-2	335-336	,	_	_	_	_
8-3	337-339	is	_	_	_	_
8-4	340-350	everything	_	_	_	_
8-5	351-356	ready	_	_	_	_
8-6	357-360	for	_	_	_	_
8-7	361-364	our	_	_	_	_
8-8	365-374	departure	_	_	_	_
8-9	375-376	?	_	_	_	_

#Text=" Ozai says : " There has been a change of plans , Azula . 
9-1	377-378	"	_	_	_	_
9-2	379-383	Ozai	*	PER	*->7-1	*[7]
9-3	384-388	says	_	_	_	_
9-4	389-390	:	_	_	_	_
9-5	391-392	"	_	_	_	_
9-6	393-398	There	_	_	_	_
9-7	399-402	has	_	_	_	_
9-8	403-407	been	_	_	_	_
9-9	408-409	a	_	_	_	_
9-10	410-416	change	_	_	_	_
9-11	417-419	of	_	_	_	_
9-12	420-425	plans	_	_	_	_
9-13	426-427	,	_	_	_	_
9-14	428-433	Azula	_	_	_	_
9-15	434-435	.	_	_	_	_

#Text=" Azula says : " What ? 
10-1	436-437	"	_	_	_	_
10-2	438-443	Azula	*	PER	_	_
10-3	444-448	says	_	_	_	_
10-4	449-450	:	_	_	_	_
10-5	451-452	"	_	_	_	_
10-6	453-457	What	_	_	*->8-1	*[8]
10-7	458-459	?	_	_	_	_

#Text=" Ozai says : " I 've decided to lead the fleet of airships to Ba Sing Se alone . 
11-1	460-461	"	_	_	_	_
11-2	462-466	Ozai	*	PER	*->7-2	*[7]
11-3	467-471	says	_	_	_	_
11-4	472-473	:	_	_	_	_
11-5	474-475	"	_	_	_	_
11-6	476-477	I	_	_	*->7-3	*[7]
11-7	478-481	've	_	_	_	_
11-8	482-489	decided	_	_	_	_
11-9	490-492	to	_	_	_	_
11-10	493-497	lead	_	_	_	_
11-11	498-501	the	_	_	_	_
11-12	502-507	fleet	_	_	_	_
11-13	508-510	of	_	_	_	_
11-14	511-519	airships	_	_	_	_
11-15	520-522	to	_	_	_	_
11-16	523-525	Ba	_	_	_	_
11-17	526-530	Sing	_	_	_	_
11-18	531-533	Se	_	_	_	_
11-19	534-539	alone	_	_	_	_
11-20	540-541	.	_	_	_	_

#Text=You will remain here in the Fire Nation . 
12-1	542-545	You	_	_	*->9-1	*[9]
12-2	546-550	will	_	_	_	_
12-3	551-557	remain	_	_	_	_
12-4	558-562	here	_	_	_	_
12-5	563-565	in	_	_	_	_
12-6	566-569	the	_	_	_	_
12-7	570-574	Fire	_	_	_	_
12-8	575-581	Nation	_	_	_	_
12-9	582-583	.	_	_	_	_

#Text=" Azula says : " But I thought we were going to do this together . 
13-1	584-585	"	_	_	_	_
13-2	586-591	Azula	*	PER	_	_
13-3	592-596	says	_	_	_	_
13-4	597-598	:	_	_	_	_
13-5	599-600	"	_	_	_	_
13-6	601-604	But	_	_	_	_
13-7	605-606	I	_	_	_	_
13-8	607-614	thought	_	_	_	_
13-9	615-617	we	_	_	_	_
13-10	618-622	were	_	_	_	_
13-11	623-628	going	_	_	_	_
13-12	629-631	to	_	_	_	_
13-13	632-634	do	_	_	_	_
13-14	635-639	this	_	_	*->10-1	*[10]
13-15	640-648	together	_	_	_	_
13-16	649-650	.	_	_	_	_

#Text=" Ozai says : " My decision is final . 
14-1	651-652	"	_	_	_	_
14-2	653-657	Ozai	*	PER	*->7-4	*[7]
14-3	658-662	says	_	_	_	_
14-4	663-664	:	_	_	_	_
14-5	665-666	"	_	_	_	_
14-6	667-669	My	_	_	*->7-5	*[7]
14-7	670-678	decision	_	_	_	_
14-8	679-681	is	_	_	_	_
14-9	682-687	final	_	_	_	_
14-10	688-689	.	_	_	_	_

#Text=" Azula says : " You ... you ca n't treat me like this ! 
15-1	690-691	"	_	_	_	_
15-2	692-697	Azula	*	PER	_	_
15-3	698-702	says	_	_	_	_
15-4	703-704	:	_	_	_	_
15-5	705-706	"	_	_	_	_
15-6	707-710	You	_	_	*->7-6	*[7]
15-7	711-714	...	_	_	_	_
15-8	715-718	you	_	_	*->7-7	*[7]
15-9	719-721	ca	_	_	_	_
15-10	722-725	n't	_	_	_	_
15-11	726-731	treat	_	_	_	_
15-12	732-734	me	_	_	_	_
15-13	735-739	like	_	_	_	_
15-14	740-744	this	_	_	*->10-2	*[10]
15-15	745-746	!	_	_	_	_

#Text=You ca n't treat me like Zuko ! 
