#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Sokka , stand clear ! " 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Sokka	_	_	*->1-1	*[1]
1-6	20-21	,	_	_	_	_
1-7	22-27	stand	_	_	_	_
1-8	28-33	clear	_	_	_	_
1-9	34-35	!	_	_	_	_
1-10	36-37	"	_	_	_	_

#Text=Sokka says : " Right . 
2-1	38-43	Sokka	_	_	*->1-2	*[1]
2-2	44-48	says	_	_	_	_
2-3	49-50	:	_	_	_	_
2-4	51-52	"	_	_	_	_
2-5	53-58	Right	_	_	_	_
2-6	59-60	.	_	_	_	_

#Text=Staying clear , got it . 
3-1	61-68	Staying	_	_	_	_
3-2	69-74	clear	_	_	_	_
3-3	75-76	,	_	_	_	_
3-4	77-80	got	_	_	_	_
3-5	81-83	it	_	_	*->1-3	*[1]
3-6	84-85	.	_	_	_	_

#Text=" 
4-1	86-87	"	_	_	_	_
