#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Headmaster says : " Stop that ! 
1-1	0-10	Headmaster	*	PER	_	_
1-2	11-15	says	_	_	_	_
1-3	16-17	:	_	_	_	_
1-4	18-19	"	_	_	_	_
1-5	20-24	Stop	_	_	_	_
1-6	25-29	that	_	_	*->1-1	*[1]
1-7	30-31	!	_	_	_	_

#Text=Stop that ! 
2-1	32-36	Stop	_	_	_	_
2-2	37-41	that	_	_	*->1-2	*[1]
2-3	42-43	!	_	_	_	_

#Text=" 
3-1	44-45	"	_	_	_	_
