#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " It 's been a long day . 
1-1	0-4	Zuko	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	It	_	_	*->1-2	*[1]
1-6	17-19	's	_	_	_	_
1-7	20-24	been	_	_	_	_
1-8	25-26	a	_	_	*->1-1	*[1]
1-9	27-31	long	_	_	*->1-1	*[1]
1-10	32-35	day	_	_	*->1-1	*[1]
1-11	36-37	.	_	_	_	_

#Text=Let 's camp and start our search again at dawn . 
2-1	38-41	Let	_	_	_	_
2-2	42-44	's	_	_	*->1-3	*[1]
2-3	45-49	camp	_	_	_	_
2-4	50-53	and	_	_	_	_
2-5	54-59	start	_	_	_	_
2-6	60-63	our	_	_	_	_
2-7	64-70	search	_	_	_	_
2-8	71-76	again	_	_	_	_
2-9	77-79	at	_	_	_	_
2-10	80-84	dawn	_	_	_	_
2-11	85-86	.	_	_	_	_

#Text=" 
3-1	87-88	"	_	_	_	_
