#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " They 're not getting larger , They 're getting closer ! 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	They	_	_	*->1-1	*[1]
1-6	19-22	're	_	_	_	_
1-7	23-26	not	_	_	_	_
1-8	27-34	getting	_	_	_	_
1-9	35-41	larger	_	_	_	_
1-10	42-43	,	_	_	_	_
1-11	44-48	They	_	_	*->1-2	*[1]
1-12	49-52	're	_	_	_	_
1-13	53-60	getting	_	_	_	_
1-14	61-67	closer	_	_	_	_
1-15	68-69	!	_	_	_	_

#Text=The whole island is moving ! 
2-1	70-73	The	_	_	_	_
2-2	74-79	whole	_	_	_	_
2-3	80-86	island	_	_	_	_
2-4	87-89	is	_	_	_	_
2-5	90-96	moving	_	_	_	_
2-6	97-98	!	_	_	_	_

#Text=" 
3-1	99-100	"	_	_	_	_
