#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Bring 'em out ! " 
1-1	0-4	Zuko	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Bring	_	_	_	_
1-6	20-23	'em	_	_	_	_
1-7	24-27	out	_	_	_	_
1-8	28-29	!	_	_	_	_
1-9	30-31	"	_	_	_	_

#Text=Sun Warrior chief says : " Chanters ! " 
2-1	32-35	Sun	_	_	_	_
2-2	36-43	Warrior	_	_	_	_
2-3	44-49	chief	_	_	_	_
2-4	50-54	says	_	_	_	_
2-5	55-56	:	_	_	_	_
2-6	57-58	"	_	_	_	_
2-7	59-67	Chanters	_	_	_	_
2-8	68-69	!	_	_	_	_
2-9	70-71	"	_	_	_	_
