#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Commander says : " Launch ! " 
1-1	0-9	Commander	*	PER	_	_
1-2	10-14	says	_	_	_	_
1-3	15-16	:	_	_	_	_
1-4	17-18	"	_	_	_	_
1-5	19-25	Launch	_	_	_	_
1-6	26-27	!	_	_	_	_
1-7	28-29	"	_	_	_	_

#Text=Team Avatar says : " Ahhhh ! " 
2-1	30-34	Team	_	_	_	_
2-2	35-41	Avatar	_	_	_	_
2-3	42-46	says	_	_	_	_
2-4	47-48	:	_	_	_	_
2-5	49-50	"	_	_	_	_
2-6	51-56	Ahhhh	_	_	_	_
2-7	57-58	!	_	_	_	_
2-8	59-60	"	_	_	_	_
