#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Shhh ! 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Shhh	_	_	_	_
1-6	19-20	!	_	_	_	_

#Text=We do n't want anyone to hear us . 
2-1	21-23	We	_	_	*->1-1	*[1]
2-2	24-26	do	_	_	_	_
2-3	27-30	n't	_	_	_	_
2-4	31-35	want	_	_	_	_
2-5	36-42	anyone	_	_	_	_
2-6	43-45	to	_	_	_	_
2-7	46-50	hear	_	_	_	_
2-8	51-53	us	_	_	*->1-2	*[1]
2-9	54-55	.	_	_	_	_

#Text=" 
3-1	56-57	"	_	_	_	_
