#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " We got 'em . 
1-1	0-5	Bolin	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-17	We	_	_	*->1-1	*[1]
1-6	18-21	got	_	_	_	_
1-7	22-25	'em	_	_	*->1-2	*[1]
1-8	26-27	.	_	_	_	_

#Text=We 're coming out . 
2-1	28-30	We	_	_	*->1-3	*[1]
2-2	31-34	're	_	_	_	_
2-3	35-41	coming	_	_	_	_
2-4	42-45	out	_	_	_	_
2-5	46-47	.	_	_	_	_

#Text=" 
3-1	48-49	"	_	_	_	_
