#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Jaya says : " You know it 's forbidden to bring the power of the element into the city . 
1-1	0-4	Jaya	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	You	_	_	*->2-1	*[2]
1-6	18-22	know	_	_	_	_
1-7	23-25	it	_	_	_	_
1-8	26-28	's	_	_	_	_
1-9	29-38	forbidden	_	_	_	_
1-10	39-41	to	_	_	_	_
1-11	42-47	bring	_	_	_	_
1-12	48-51	the	_	_	_	_
1-13	52-57	power	_	_	_	_
1-14	58-60	of	_	_	_	_
1-15	61-64	the	_	_	_	_
1-16	65-72	element	_	_	_	_
1-17	73-77	into	_	_	_	_
1-18	78-81	the	_	_	_	_
1-19	82-86	city	_	_	_	_
1-20	87-88	.	_	_	_	_

#Text=Please , go back to the lion turtle and return the fire . 
2-1	89-95	Please	_	_	_	_
2-2	96-97	,	_	_	_	_
2-3	98-100	go	_	_	_	_
2-4	101-105	back	_	_	_	_
2-5	106-108	to	_	_	_	_
2-6	109-112	the	_	_	*->3-1	*[3]
2-7	113-117	lion	_	_	*->3-1	*[3]
2-8	118-124	turtle	_	_	*->3-1	*[3]
2-9	125-128	and	_	_	_	_
2-10	129-135	return	_	_	_	_
2-11	136-139	the	_	_	_	_
2-12	140-144	fire	_	_	_	_
2-13	145-146	.	_	_	_	_

#Text=" Wan says : " Jaya , it 's time to stop being so afraid of the Chous and show them we have the power to change things . 
3-1	147-148	"	_	_	_	_
3-2	149-152	Wan	_	_	*->4-1	*[4]
3-3	153-157	says	_	_	_	_
3-4	158-159	:	_	_	_	_
3-5	160-161	"	_	_	_	_
3-6	162-166	Jaya	_	_	*->1-2	*[1]
3-7	167-168	,	_	_	_	_
3-8	169-171	it	_	_	*->3-2	*[3]
3-9	172-174	's	_	_	_	_
3-10	175-179	time	_	_	*->3-3	*[3]
3-11	180-182	to	_	_	*->3-3	*[3]
3-12	183-187	stop	_	_	*->3-3	*[3]
3-13	188-193	being	_	_	*->3-3	*[3]
3-14	194-196	so	_	_	*->3-3	*[3]
3-15	197-203	afraid	_	_	*->3-3	*[3]
3-16	204-206	of	_	_	*->3-3	*[3]
3-17	207-210	the	_	_	*->3-3	*[3]
3-18	211-216	Chous	_	_	*->3-3	*[3]
3-19	217-220	and	_	_	*->3-3	*[3]
3-20	221-225	show	_	_	*->3-3	*[3]
3-21	226-230	them	_	_	*->2-2	*[2]
3-22	231-233	we	_	_	*->3-3	*[3]
3-23	234-238	have	_	_	*->3-3	*[3]
3-24	239-242	the	_	_	*->3-3	*[3]
3-25	243-248	power	_	_	*->3-3	*[3]
3-26	249-251	to	_	_	*->3-3	*[3]
3-27	252-258	change	_	_	*->3-3	*[3]
3-28	259-265	things	_	_	*->3-3	*[3]
3-29	266-267	.	_	_	_	_

#Text=" Wan says : " Hey , Chous ! 
4-1	268-269	"	_	_	_	_
4-2	270-273	Wan	_	_	*->4-2	*[4]
4-3	274-278	says	_	_	_	_
4-4	279-280	:	_	_	_	_
4-5	281-282	"	_	_	_	_
4-6	283-286	Hey	_	_	_	_
4-7	287-288	,	_	_	_	_
4-8	289-294	Chous	_	_	*->5-2	*[5]
4-9	295-296	!	_	_	_	_

#Text=Open the gate , and let us in . 
5-1	297-301	Open	_	_	_	_
5-2	302-305	the	_	_	_	_
5-3	306-310	gate	_	_	_	_
5-4	311-312	,	_	_	_	_
5-5	313-316	and	_	_	_	_
5-6	317-320	let	_	_	_	_
5-7	321-323	us	_	_	*->6-2	*[6]
5-8	324-326	in	_	_	_	_
5-9	327-328	.	_	_	_	_

#Text=" 
6-1	329-330	"	_	_	_	_
