#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kuvira says : " Initiate lockdown ! 
1-1	0-6	Kuvira	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-24	Initiate	_	_	_	_
1-6	25-33	lockdown	_	_	_	_
1-7	34-35	!	_	_	_	_

#Text=Find the Avatar and whoever else is with her . 
2-1	36-40	Find	_	_	_	_
2-2	41-44	the	_	_	_	_
2-3	45-51	Avatar	_	_	_	_
2-4	52-55	and	_	_	_	_
2-5	56-63	whoever	_	_	_	_
2-6	64-68	else	_	_	_	_
2-7	69-71	is	_	_	_	_
2-8	72-76	with	_	_	_	_
2-9	77-80	her	_	_	_	_
2-10	81-82	.	_	_	_	_

#Text=" 
3-1	83-84	"	_	_	_	_
