#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " Be with you in one second ! 
1-1	0-5	Bolin	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-17	Be	_	_	_	_
1-6	18-22	with	_	_	_	_
1-7	23-26	you	_	_	_	_
1-8	27-29	in	_	_	_	_
1-9	30-33	one	_	_	_	_
1-10	34-40	second	_	_	_	_
1-11	41-42	!	_	_	_	_

#Text=Kind of busy ! 
2-1	43-47	Kind	_	_	_	_
2-2	48-50	of	_	_	_	_
2-3	51-55	busy	_	_	_	_
2-4	56-57	!	_	_	_	_

#Text=Okay , ready now ! 
3-1	58-62	Okay	_	_	_	_
3-2	63-64	,	_	_	_	_
3-3	65-70	ready	_	_	_	_
3-4	71-74	now	_	_	_	_
3-5	75-76	!	_	_	_	_

#Text=" 
4-1	77-78	"	_	_	_	_
