#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kuvira says : " Today , we stand on the precipice of history . 
1-1	0-6	Kuvira	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-21	Today	_	_	_	_
1-6	22-23	,	_	_	_	_
1-7	24-26	we	_	_	*->1-1	*[1]
1-8	27-32	stand	_	_	_	_
1-9	33-35	on	_	_	_	_
1-10	36-39	the	_	_	_	_
1-11	40-49	precipice	_	_	_	_
1-12	50-52	of	_	_	_	_
1-13	53-60	history	_	_	_	_
1-14	61-62	.	_	_	_	_

#Text=For the past three years , we 've fought side by side to unite the Earth Empire and we 've proven that no one can stand in our way , not even the Avatar . 
2-1	63-66	For	_	_	_	_
2-2	67-70	the	_	_	_	_
2-3	71-75	past	_	_	_	_
2-4	76-81	three	_	_	_	_
2-5	82-87	years	_	_	_	_
2-6	88-89	,	_	_	_	_
2-7	90-92	we	_	_	*->1-2	*[1]
2-8	93-96	've	_	_	_	_
2-9	97-103	fought	_	_	_	_
2-10	104-108	side	_	_	_	_
2-11	109-111	by	_	_	_	_
2-12	112-116	side	_	_	_	_
2-13	117-119	to	_	_	_	_
2-14	120-125	unite	_	_	_	_
2-15	126-129	the	_	_	_	_
2-16	130-135	Earth	_	_	_	_
2-17	136-142	Empire	_	_	_	_
2-18	143-146	and	_	_	_	_
2-19	147-149	we	_	_	*->1-3	*[1]
2-20	150-153	've	_	_	_	_
2-21	154-160	proven	_	_	_	_
2-22	161-165	that	_	_	_	_
2-23	166-168	no	_	_	_	_
2-24	169-172	one	_	_	_	_
2-25	173-176	can	_	_	_	_
2-26	177-182	stand	_	_	_	_
2-27	183-185	in	_	_	_	_
2-28	186-189	our	_	_	*->1-4	*[1]
2-29	190-193	way	_	_	_	_
2-30	194-195	,	_	_	_	_
2-31	196-199	not	_	_	_	_
2-32	200-204	even	_	_	_	_
2-33	205-208	the	_	_	_	_
2-34	209-215	Avatar	_	_	_	_
2-35	216-217	.	_	_	_	_

#Text=But our mission is not yet complete . 
3-1	218-221	But	_	_	_	_
3-2	222-225	our	_	_	*->1-5	*[1]
3-3	226-233	mission	_	_	_	_
3-4	234-236	is	_	_	_	_
3-5	237-240	not	_	_	_	_
3-6	241-244	yet	_	_	_	_
3-7	245-253	complete	_	_	_	_
3-8	254-255	.	_	_	_	_

#Text=" 
4-1	256-257	"	_	_	_	_
