#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Director says : " Cut ! 
1-1	0-8	Director	*	PER	_	_
1-2	9-13	says	_	_	_	_
1-3	14-15	:	_	_	_	_
1-4	16-17	"	_	_	_	_
1-5	18-21	Cut	_	_	_	_
1-6	22-23	!	_	_	_	_

#Text=Okay , that 's lunch , everyone . 
2-1	24-28	Okay	_	_	_	_
2-2	29-30	,	_	_	_	_
2-3	31-35	that	_	_	*->1-2	*[1]
2-4	36-38	's	_	_	_	_
2-5	39-44	lunch	_	_	*->1-1	*[1]
2-6	45-46	,	_	_	*->1-1	*[1]
2-7	47-55	everyone	_	_	*->1-1	*[1]
2-8	56-57	.	_	_	_	_

#Text=" 
3-1	58-59	"	_	_	_	_
