#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Jinora says : " Whoa . 
1-1	0-6	Jinora	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-20	Whoa	_	_	_	_
1-6	21-22	.	_	_	_	_

#Text=What Avatar is this ? 
2-1	23-27	What	_	_	_	_
2-2	28-34	Avatar	_	_	_	_
2-3	35-37	is	_	_	_	_
2-4	38-42	this	_	_	_	_
2-5	43-44	?	_	_	_	_

#Text=" 
3-1	45-46	"	_	_	_	_
