#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Tenzin says : " Airbending is all about spiral movements . 
1-1	0-6	Tenzin	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-26	Airbending	_	_	_	_
1-6	27-29	is	_	_	_	_
1-7	30-33	all	_	_	_	_
1-8	34-39	about	_	_	_	_
1-9	40-46	spiral	_	_	_	_
1-10	47-56	movements	_	_	_	_
1-11	57-58	.	_	_	_	_

#Text=When you meet resistance , you must be able to switch direction at a moment 's notice . 
2-1	59-63	When	_	_	_	_
2-2	64-67	you	_	_	*->1-1	*[1]
2-3	68-72	meet	_	_	_	_
2-4	73-83	resistance	_	_	_	_
2-5	84-85	,	_	_	_	_
2-6	86-89	you	_	_	*->1-2	*[1]
2-7	90-94	must	_	_	_	_
2-8	95-97	be	_	_	_	_
2-9	98-102	able	_	_	_	_
2-10	103-105	to	_	_	_	_
2-11	106-112	switch	_	_	_	_
2-12	113-122	direction	_	_	_	_
2-13	123-125	at	_	_	_	_
2-14	126-127	a	_	_	_	_
2-15	128-134	moment	_	_	_	_
2-16	135-137	's	_	_	_	_
2-17	138-144	notice	_	_	_	_
2-18	145-146	.	_	_	_	_

#Text=" 
3-1	147-148	"	_	_	_	_
