#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ikki says : " Dance ! 
1-1	0-4	Ikki	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Dance	_	_	_	_
1-6	20-21	!	_	_	_	_

#Text=Dance like the wind ! 
2-1	22-27	Dance	_	_	_	_
2-2	28-32	like	_	_	_	_
2-3	33-36	the	_	_	_	_
2-4	37-41	wind	_	_	_	_
2-5	42-43	!	_	_	_	_

#Text=" 
3-1	44-45	"	_	_	_	_
