#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " And thank you , sir ! 
1-1	0-5	Korra	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	And	_	_	_	_
1-6	19-24	thank	_	_	_	_
1-7	25-28	you	_	_	_	_
1-8	29-30	,	_	_	_	_
1-9	31-34	sir	_	_	_	_
1-10	35-36	!	_	_	_	_

#Text=Seriously , thanks . 
2-1	37-46	Seriously	_	_	_	_
2-2	47-48	,	_	_	_	_
2-3	49-55	thanks	_	_	_	_
2-4	56-57	.	_	_	_	_

#Text=" 
3-1	58-59	"	_	_	_	_
