#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " All right ! 
1-1	0-5	Bolin	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	All	_	_	_	_
1-6	19-24	right	_	_	_	_
1-7	25-26	!	_	_	_	_

#Text=Let 's see what ' cha got ! 
2-1	27-30	Let	_	_	_	_
2-2	31-33	's	_	_	_	_
2-3	34-37	see	_	_	_	_
2-4	38-42	what	_	_	_	_
2-5	43-44	'	_	_	_	_
2-6	45-48	cha	_	_	_	_
2-7	49-52	got	_	_	_	_
2-8	53-54	!	_	_	_	_

#Text=" 
3-1	55-56	"	_	_	_	_
