#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mako says : " As you were . 
1-1	0-4	Mako	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	As	_	_	_	_
1-6	17-20	you	_	_	_	_
1-7	21-25	were	_	_	_	_
1-8	26-27	.	_	_	_	_

#Text=Ladies . 
2-1	28-34	Ladies	_	_	_	_
2-2	35-36	.	_	_	_	_

#Text=" 
3-1	37-38	"	_	_	_	_
