#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Wow , look at this place . 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	Wow	_	_	_	_
1-6	19-20	,	_	_	_	_
1-7	21-25	look	_	_	_	_
1-8	26-28	at	_	_	_	_
1-9	29-33	this	_	_	_	_
1-10	34-39	place	_	_	_	_
1-11	40-41	.	_	_	_	_

#Text=I 've never seen so many Satomobiles ! 
2-1	42-43	I	_	_	*->1-2	*[1]
2-2	44-47	've	_	_	_	_
2-3	48-53	never	_	_	_	_
2-4	54-58	seen	_	_	_	_
2-5	59-61	so	_	_	_	_
2-6	62-66	many	_	_	_	_
2-7	67-78	Satomobiles	_	_	_	_
2-8	79-80	!	_	_	_	_

#Text=" 
3-1	81-82	"	_	_	_	_
