#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Nuktuk says : " Thank you , wise sage . 
1-1	0-6	Nuktuk	*	PER	*->1-1	*[1]
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-21	Thank	_	_	_	_
1-6	22-25	you	_	_	_	_
1-7	26-27	,	_	_	_	_
1-8	28-32	wise	_	_	_	_
1-9	33-37	sage	_	_	_	_
1-10	38-39	.	_	_	_	_

#Text=I will travel to Republic City and seek help . 
2-1	40-41	I	_	_	*->1-2	*[1]
2-2	42-46	will	_	_	_	_
2-3	47-53	travel	_	_	_	_
2-4	54-56	to	_	_	_	_
2-5	57-65	Republic	_	_	_	_
2-6	66-70	City	_	_	_	_
2-7	71-74	and	_	_	_	_
2-8	75-79	seek	_	_	_	_
2-9	80-84	help	_	_	_	_
2-10	85-86	.	_	_	_	_

#Text=" 
3-1	87-88	"	_	_	_	_
