#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bumi says : " Everyone 's in . 
1-1	0-4	Bumi	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-22	Everyone	_	_	_	_
1-6	23-25	's	_	_	_	_
1-7	26-28	in	_	_	_	_
1-8	29-30	.	_	_	_	_

#Text=Let 's go ! 
2-1	31-34	Let	_	_	_	_
2-2	35-37	's	_	_	_	_
2-3	38-40	go	_	_	_	_
2-4	41-42	!	_	_	_	_

#Text=" 
3-1	43-44	"	_	_	_	_
