#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " We 've got them on the run ! 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	We	_	_	*->1-1	*[1]
1-6	17-20	've	_	_	_	_
1-7	21-24	got	_	_	_	_
1-8	25-29	them	_	_	_	_
1-9	30-32	on	_	_	_	_
1-10	33-36	the	_	_	_	_
1-11	37-40	run	_	_	_	_
1-12	41-42	!	_	_	_	_

#Text=We need more slime ! 
2-1	43-45	We	_	_	*->1-2	*[1]
2-2	46-50	need	_	_	_	_
2-3	51-55	more	_	_	_	_
2-4	56-61	slime	_	_	_	_
2-5	62-63	!	_	_	_	_

#Text=" 
3-1	64-65	"	_	_	_	_
