#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " That 's strange . 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	That	_	_	_	_
1-6	19-21	's	_	_	_	_
1-7	22-29	strange	_	_	_	_
1-8	30-31	.	_	_	_	_

#Text=The Avatar is back ! 
2-1	32-35	The	_	_	_	_
2-2	36-42	Avatar	_	_	_	_
2-3	43-45	is	_	_	_	_
2-4	46-50	back	_	_	_	_
2-5	51-52	!	_	_	_	_

#Text=Hello ? 
3-1	53-58	Hello	_	_	_	_
3-2	59-60	?	_	_	_	_

#Text=Anyone home ? 
4-1	61-67	Anyone	_	_	_	_
4-2	68-72	home	_	_	_	_
4-3	73-74	?	_	_	_	_

#Text=" 
5-1	75-76	"	_	_	_	_
