#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mechanist says : " The eclipse is starting ! 
1-1	0-9	Mechanist	*	PER	_	_
1-2	10-14	says	_	_	_	_
1-3	15-16	:	_	_	_	_
1-4	17-18	"	_	_	_	_
1-5	19-22	The	_	_	_	_
1-6	23-30	eclipse	_	_	_	_
1-7	31-33	is	_	_	_	_
1-8	34-42	starting	_	_	_	_
1-9	43-44	!	_	_	_	_

#Text=Put on your eclipse glasses ! 
2-1	45-48	Put	_	_	_	_
2-2	49-51	on	_	_	_	_
2-3	52-56	your	_	_	_	_
2-4	57-64	eclipse	_	_	_	_
2-5	65-72	glasses	_	_	_	_
2-6	73-74	!	_	_	_	_

#Text=" 
3-1	75-76	"	_	_	_	_
