#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Uncle ! 
1-1	0-4	Zuko	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Uncle	_	_	*->3-1	*[3]
1-6	20-21	!	_	_	_	_

#Text=Where is my uncle ? 
2-1	22-27	Where	_	_	_	_
2-2	28-30	is	_	_	_	_
2-3	31-33	my	_	_	*->1-2	*[1]
2-4	34-39	uncle	_	_	*->3-2	*[3]
2-5	40-41	?	_	_	_	_

#Text=" Warden Poon says : " He 's gone . 
3-1	42-43	"	_	_	_	_
3-2	44-50	Warden	*	PER	*->4-1	*[4]
3-3	51-55	Poon	*	PER	*->4-1	*[4]
3-4	56-60	says	_	_	_	_
3-5	61-62	:	_	_	_	_
3-6	63-64	"	_	_	_	_
3-7	65-67	He	_	_	*->3-3	*[3]
3-8	68-70	's	_	_	_	_
3-9	71-75	gone	_	_	_	_
3-10	76-77	.	_	_	_	_

#Text=He busted himself out . 
4-1	78-80	He	_	_	*->3-4	*[3]
4-2	81-87	busted	_	_	_	_
4-3	88-95	himself	_	_	*->3-5	*[3]
4-4	96-99	out	_	_	_	_
4-5	100-101	.	_	_	_	_

#Text=I 've never seen anything like it , he was like a one - man army ! 
5-1	102-103	I	_	_	*->4-2	*[4]
5-2	104-107	've	_	_	_	_
5-3	108-113	never	_	_	_	_
5-4	114-118	seen	_	_	_	_
5-5	119-127	anything	_	_	_	_
5-6	128-132	like	_	_	_	_
5-7	133-135	it	_	_	_	_
5-8	136-137	,	_	_	_	_
5-9	138-140	he	_	_	*->3-6	*[3]
5-10	141-144	was	_	_	_	_
5-11	145-149	like	_	_	_	_
5-12	150-151	a	_	_	_	_
5-13	152-155	one	_	_	_	_
5-14	156-157	-	_	_	_	_
5-15	158-161	man	_	_	_	_
5-16	162-166	army	_	_	_	_
5-17	167-168	!	_	_	_	_

#Text=" Sokka says : " Try and find cover ! 
6-1	169-170	"	_	_	_	_
6-2	171-176	Sokka	_	_	_	_
6-3	177-181	says	_	_	_	_
6-4	182-183	:	_	_	_	_
6-5	184-185	"	_	_	_	_
