#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mechanist says : " Bye , son . " 
1-1	0-9	Mechanist	*	PER	*->1-1	*[1]
1-2	10-14	says	_	_	_	_
1-3	15-16	:	_	_	_	_
1-4	17-18	"	_	_	_	_
1-5	19-22	Bye	_	_	_	_
1-6	23-24	,	_	_	_	_
1-7	25-28	son	_	_	_	_
1-8	29-30	.	_	_	_	_
1-9	31-32	"	_	_	_	_

#Text=Teo says : " Bye , Dad . 
2-1	33-36	Teo	*	PER	*->2-1	*[2]
2-2	37-41	says	_	_	_	_
2-3	42-43	:	_	_	_	_
2-4	44-45	"	_	_	_	_
2-5	46-49	Bye	_	_	_	_
2-6	50-51	,	_	_	_	_
2-7	52-55	Dad	_	_	*->3-1	*[3]
2-8	56-57	.	_	_	_	_

#Text=I 'm really proud of you . 
3-1	58-59	I	_	_	*->2-2	*[2]
3-2	60-62	'm	_	_	_	_
3-3	63-69	really	_	_	_	_
3-4	70-75	proud	_	_	_	_
3-5	76-78	of	_	_	_	_
3-6	79-82	you	_	_	*->1-2	*[1]
3-7	83-84	.	_	_	_	_

#Text=" The Duke says : " I 'll miss you , Pipsqueak . 
4-1	85-86	"	_	_	_	_
4-2	87-90	The	_	_	*->4-1	*[4]
4-3	91-95	Duke	*	PER	*->4-1	*[4]
4-4	96-100	says	_	_	_	_
4-5	101-102	:	_	_	_	_
4-6	103-104	"	_	_	_	_
4-7	105-106	I	_	_	*->4-2	*[4]
4-8	107-110	'll	_	_	_	_
4-9	111-115	miss	_	_	_	_
4-10	116-119	you	_	_	*->2-3	*[2]
4-11	120-121	,	_	_	_	_
4-12	122-131	Pipsqueak	_	_	*->5-1	*[5]
4-13	132-133	.	_	_	_	_

#Text=" Pipsqueak says : " Take care , The Duke . 
5-1	134-135	"	_	_	_	_
5-2	136-145	Pipsqueak	_	_	_	_
5-3	146-150	says	_	_	_	_
5-4	151-152	:	_	_	_	_
5-5	153-154	"	_	_	_	_
5-6	155-159	Take	_	_	_	_
5-7	160-164	care	_	_	_	_
5-8	165-166	,	_	_	_	_
5-9	167-170	The	_	_	*->4-3	*[4]
5-10	171-175	Duke	*	PER	*->4-3	*[4]
5-11	176-177	.	_	_	_	_

#Text=" Haru says : " We 'll be back for you , Dad . 
6-1	178-179	"	_	_	_	_
6-2	180-184	Haru	*	PER	_	_
6-3	185-189	says	_	_	_	_
6-4	190-191	:	_	_	_	_
6-5	192-193	"	_	_	_	_
6-6	194-196	We	_	_	*->6-1	*[6]
6-7	197-200	'll	_	_	_	_
6-8	201-203	be	_	_	_	_
6-9	204-208	back	_	_	_	_
6-10	209-212	for	_	_	_	_
6-11	213-216	you	_	_	*->5-2	*[5]
6-12	217-218	,	_	_	_	_
6-13	219-222	Dad	_	_	*->3-2	*[3]
6-14	223-224	.	_	_	_	_

#Text=" Tyro says : " If we do n't escape on our own first . 
7-1	225-226	"	_	_	_	_
7-2	227-231	Tyro	*	PER	_	_
7-3	232-236	says	_	_	_	_
7-4	237-238	:	_	_	_	_
7-5	239-240	"	_	_	_	_
7-6	241-243	If	_	_	_	_
7-7	244-246	we	_	_	*->6-2	*[6]
7-8	247-249	do	_	_	_	_
7-9	250-253	n't	_	_	_	_
7-10	254-260	escape	_	_	_	_
7-11	261-263	on	_	_	_	_
7-12	264-267	our	_	_	*->6-3	*[6]
7-13	268-271	own	_	_	_	_
7-14	272-277	first	_	_	_	_
7-15	278-279	.	_	_	_	_

#Text=" Hakoda says : " We lost today , but we 've never been this close . 
8-1	280-281	"	_	_	_	_
8-2	282-288	Hakoda	*	PER	*->7-1	*[7]
8-3	289-293	says	_	_	_	_
8-4	294-295	:	_	_	_	_
8-5	296-297	"	_	_	_	_
8-6	298-300	We	_	_	*->6-4	*[6]
8-7	301-305	lost	_	_	_	_
8-8	306-311	today	_	_	_	_
8-9	312-313	,	_	_	_	_
8-10	314-317	but	_	_	_	_
8-11	318-320	we	_	_	*->6-5	*[6]
8-12	321-324	've	_	_	_	_
8-13	325-330	never	_	_	_	_
8-14	331-335	been	_	_	_	_
8-15	336-340	this	_	_	_	_
8-16	341-346	close	_	_	_	_
8-17	347-348	.	_	_	_	_

#Text=We tasted victory , and that counts for something . 
9-1	349-351	We	_	_	*->6-6	*[6]
9-2	352-358	tasted	_	_	_	_
9-3	359-366	victory	_	_	_	_
9-4	367-368	,	_	_	_	_
9-5	369-372	and	_	_	_	_
9-6	373-377	that	_	_	_	_
9-7	378-384	counts	_	_	_	_
9-8	385-388	for	_	_	_	_
9-9	389-398	something	_	_	_	_
9-10	399-400	.	_	_	_	_

#Text=" Katara says : " We 'll miss you , Dad . 
10-1	401-402	"	_	_	_	_
10-2	403-409	Katara	*	PER	_	_
10-3	410-414	says	_	_	_	_
10-4	415-416	:	_	_	_	_
10-5	417-418	"	_	_	_	_
10-6	419-421	We	_	_	*->6-7	*[6]
10-7	422-425	'll	_	_	_	_
10-8	426-430	miss	_	_	_	_
10-9	431-434	you	_	_	*->7-2	*[7]
10-10	435-436	,	_	_	_	_
10-11	437-440	Dad	_	_	*->3-3	*[3]
10-12	441-442	.	_	_	_	_

#Text=" Sokka says : " Bye , Dad . 
11-1	443-444	"	_	_	_	_
11-2	445-450	Sokka	_	_	*->8-1	*[8]
11-3	451-455	says	_	_	_	_
11-4	456-457	:	_	_	_	_
11-5	458-459	"	_	_	_	_
11-6	460-463	Bye	_	_	_	_
11-7	464-465	,	_	_	_	_
11-8	466-469	Dad	_	_	*->3-4	*[3]
11-9	470-471	.	_	_	_	_

#Text=We wo n't be apart for too long this time . 
12-1	472-474	We	_	_	*->6-8	*[6]
12-2	475-477	wo	_	_	_	_
12-3	478-481	n't	_	_	_	_
12-4	482-484	be	_	_	_	_
12-5	485-490	apart	_	_	_	_
12-6	491-494	for	_	_	_	_
12-7	495-498	too	_	_	_	_
12-8	499-503	long	_	_	_	_
12-9	504-508	this	_	_	_	_
12-10	509-513	time	_	_	_	_
12-11	514-515	.	_	_	_	_

#Text=I promise . 
13-1	516-517	I	_	_	*->8-2	*[8]
13-2	518-525	promise	_	_	_	_
13-3	526-527	.	_	_	_	_

#Text=" 
14-1	528-529	"	_	_	_	_
