#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " This was so much easier in my head . " 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	This	_	_	_	_
1-6	19-22	was	_	_	_	_
1-7	23-25	so	_	_	_	_
1-8	26-30	much	_	_	_	_
1-9	31-37	easier	_	_	_	_
1-10	38-40	in	_	_	_	_
1-11	41-43	my	_	_	*->1-2	*[1]
1-12	44-48	head	_	_	_	_
1-13	49-50	.	_	_	_	_
1-14	51-52	"	_	_	_	_

#Text=Kenji says : " But you have to open this gate . " 
2-1	53-58	Kenji	*	PER	*->2-1	*[2]
2-2	59-63	says	_	_	_	_
2-3	64-65	:	_	_	_	_
2-4	66-67	"	_	_	_	_
2-5	68-71	But	_	_	_	_
2-6	72-75	you	_	_	*->1-3	*[1]
2-7	76-80	have	_	_	_	_
2-8	81-83	to	_	_	_	_
2-9	84-88	open	_	_	_	_
2-10	89-93	this	_	_	_	_
2-11	94-98	gate	_	_	_	_
2-12	99-100	.	_	_	_	_
2-13	101-102	"	_	_	_	_

#Text=Guard says : " Or what ? " 
3-1	103-108	Guard	*	PER	_	_
3-2	109-113	says	_	_	_	_
3-3	114-115	:	_	_	_	_
3-4	116-117	"	_	_	_	_
3-5	118-120	Or	_	_	*->3-1	*[3]
3-6	121-125	what	_	_	*->3-1	*[3]
3-7	126-127	?	_	_	_	_
3-8	128-129	"	_	_	_	_

#Text=Kenji says : " Or that ! " 
4-1	130-135	Kenji	*	PER	*->2-2	*[2]
4-2	136-140	says	_	_	_	_
4-3	141-142	:	_	_	_	_
4-4	143-144	"	_	_	_	_
4-5	145-147	Or	_	_	*->3-2	*[3]
4-6	148-152	that	_	_	*->3-2	*[3]
4-7	153-154	!	_	_	_	_
4-8	155-156	"	_	_	_	_
