#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kuruk says : " I loved impressing people with my bending prowess . 
1-1	0-5	Kuruk	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-16	I	_	_	*->1-2	*[1]
1-6	17-22	loved	_	_	_	_
1-7	23-33	impressing	_	_	_	_
1-8	34-40	people	_	_	_	_
1-9	41-45	with	_	_	_	_
1-10	46-48	my	_	_	*->1-3	*[1]
1-11	49-56	bending	_	_	_	_
1-12	57-64	prowess	_	_	_	_
1-13	65-66	.	_	_	_	_

#Text=Especially girls . 
2-1	67-77	Especially	_	_	_	_
2-2	78-83	girls	_	_	_	_
2-3	84-85	.	_	_	_	_

#Text=" 
3-1	86-87	"	_	_	_	_
