#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Do n't worry , buddy . 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	Do	_	_	_	_
1-6	17-20	n't	_	_	_	_
1-7	21-26	worry	_	_	_	_
1-8	27-28	,	_	_	_	_
1-9	29-34	buddy	_	_	_	_
1-10	35-36	.	_	_	_	_

#Text=I 'm not making you go underground ever again . 
2-1	37-38	I	_	_	*->1-2	*[1]
2-2	39-41	'm	_	_	_	_
2-3	42-45	not	_	_	_	_
2-4	46-52	making	_	_	_	_
2-5	53-56	you	_	_	*->2-1	*[2]
2-6	57-59	go	_	_	_	_
2-7	60-71	underground	_	_	_	_
2-8	72-76	ever	_	_	_	_
2-9	77-82	again	_	_	_	_
2-10	83-84	.	_	_	_	_

#Text=You can stay out here with Toph . 
3-1	85-88	You	_	_	*->2-2	*[2]
3-2	89-92	can	_	_	_	_
3-3	93-97	stay	_	_	_	_
3-4	98-101	out	_	_	_	_
3-5	102-106	here	_	_	_	_
3-6	107-111	with	_	_	_	_
3-7	112-116	Toph	_	_	*->3-1	*[3]
3-8	117-118	.	_	_	_	_

#Text=" Toph says : " What 's up ? 
4-1	119-120	"	_	_	_	_
4-2	121-125	Toph	_	_	*->3-2	*[3]
4-3	126-130	says	_	_	_	_
4-4	131-132	:	_	_	_	_
4-5	133-134	"	_	_	_	_
4-6	135-139	What	_	_	_	_
4-7	140-142	's	_	_	_	_
4-8	143-145	up	_	_	_	_
4-9	146-147	?	_	_	_	_

#Text=" 
5-1	148-149	"	_	_	_	_
