#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bumi says : " Ba Sing Se , the Order of the White Lotus is here . " 
1-1	0-4	Bumi	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	Ba	_	_	_	_
1-6	17-21	Sing	_	_	_	_
1-7	22-24	Se	_	_	_	_
1-8	25-26	,	_	_	_	_
1-9	27-30	the	_	_	_	_
1-10	31-36	Order	_	_	_	_
1-11	37-39	of	_	_	_	_
1-12	40-43	the	_	_	_	_
1-13	44-49	White	_	_	_	_
1-14	50-55	Lotus	_	_	_	_
1-15	56-58	is	_	_	_	_
1-16	59-63	here	_	_	_	_
1-17	64-65	.	_	_	_	_
1-18	66-67	"	_	_	_	_

#Text=Pakku says : " Here to set you free . " 
2-1	68-73	Pakku	*	PER	_	_
2-2	74-78	says	_	_	_	_
2-3	79-80	:	_	_	_	_
2-4	81-82	"	_	_	_	_
2-5	83-87	Here	_	_	_	_
2-6	88-90	to	_	_	_	_
2-7	91-94	set	_	_	_	_
2-8	95-98	you	_	_	*->1-2	*[1]
2-9	99-103	free	_	_	_	_
2-10	104-105	.	_	_	_	_
2-11	106-107	"	_	_	_	_

#Text=Iroh says : " Only once every hundred years can a firebender experience this kind of power . " 
3-1	108-112	Iroh	*	PER	_	_
3-2	113-117	says	_	_	_	_
3-3	118-119	:	_	_	_	_
3-4	120-121	"	_	_	_	_
3-5	122-126	Only	_	_	_	_
3-6	127-131	once	_	_	_	_
3-7	132-137	every	_	_	_	_
3-8	138-145	hundred	_	_	_	_
3-9	146-151	years	_	_	_	_
3-10	152-155	can	_	_	_	_
3-11	156-157	a	_	_	_	_
3-12	158-168	firebender	_	_	_	_
3-13	169-179	experience	_	_	_	_
3-14	180-184	this	_	_	_	_
3-15	185-189	kind	_	_	_	_
3-16	190-192	of	_	_	_	_
3-17	193-198	power	_	_	_	_
3-18	199-200	.	_	_	_	_
3-19	201-202	"	_	_	_	_
