#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Sokka says : " I 'm too young to die ! " 
1-1	0-5	Sokka	_	_	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-16	I	_	_	*->1-2	*[1]
1-6	17-19	'm	_	_	_	_
1-7	20-23	too	_	_	_	_
1-8	24-29	young	_	_	_	_
1-9	30-32	to	_	_	_	_
1-10	33-36	die	_	_	_	_
1-11	37-38	!	_	_	_	_
1-12	39-40	"	_	_	_	_

#Text=Fisherman says : " I 'm not , but I still do n't wan na ! " 
2-1	41-50	Fisherman	*	PER	*->2-1	*[2]
2-2	51-55	says	_	_	_	_
2-3	56-57	:	_	_	_	_
2-4	58-59	"	_	_	_	_
2-5	60-61	I	_	_	*->2-2	*[2]
2-6	62-64	'm	_	_	_	_
2-7	65-68	not	_	_	_	_
2-8	69-70	,	_	_	_	_
2-9	71-74	but	_	_	_	_
2-10	75-76	I	_	_	*->2-3	*[2]
2-11	77-82	still	_	_	_	_
2-12	83-85	do	_	_	_	_
2-13	86-89	n't	_	_	_	_
2-14	90-93	wan	_	_	_	_
2-15	94-96	na	_	_	_	_
2-16	97-98	!	_	_	_	_
2-17	99-100	"	_	_	_	_

#Text=Aang says : " Hang onto the rope . " 
3-1	101-105	Aang	*	PER	_	_
3-2	106-110	says	_	_	_	_
3-3	111-112	:	_	_	_	_
3-4	113-114	"	_	_	_	_
3-5	115-119	Hang	_	_	_	_
3-6	120-124	onto	_	_	_	_
3-7	125-128	the	_	_	_	_
3-8	129-133	rope	_	_	_	_
3-9	134-135	.	_	_	_	_
3-10	136-137	"	_	_	_	_
