#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ozai says : " Come on out , Avatar ! 
1-1	0-4	Ozai	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Come	_	_	_	_
1-6	19-21	on	_	_	_	_
1-7	22-25	out	_	_	_	_
1-8	26-27	,	_	_	_	_
1-9	28-34	Avatar	_	_	_	_
1-10	35-36	!	_	_	_	_

#Text=You ca n't hide in there forever ! 
2-1	37-40	You	_	_	_	_
2-2	41-43	ca	_	_	_	_
2-3	44-47	n't	_	_	_	_
2-4	48-52	hide	_	_	_	_
2-5	53-55	in	_	_	_	_
2-6	56-61	there	_	_	_	_
2-7	62-69	forever	_	_	_	_
2-8	70-71	!	_	_	_	_

#Text=" 
3-1	72-73	"	_	_	_	_
