#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Iroh says : " Life happens wherever you are , whether you make it or not . 
1-1	0-4	Iroh	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Life	_	_	*->2-1	*[2]
1-6	19-26	happens	_	_	_	_
1-7	27-35	wherever	_	_	_	_
1-8	36-39	you	_	_	*->3-1	*[3]
1-9	40-43	are	_	_	_	_
1-10	44-45	,	_	_	_	_
1-11	46-53	whether	_	_	_	_
1-12	54-57	you	_	_	*->3-2	*[3]
1-13	58-62	make	_	_	_	_
1-14	63-65	it	_	_	*->2-2	*[2]
1-15	66-68	or	_	_	_	_
1-16	69-72	not	_	_	_	_
1-17	73-74	.	_	_	_	_

#Text=Now come on , I found us some new jobs , and we start this afternoon ! 
2-1	75-78	Now	_	_	_	_
2-2	79-83	come	_	_	_	_
2-3	84-86	on	_	_	_	_
2-4	87-88	,	_	_	_	_
2-5	89-90	I	_	_	*->1-2	*[1]
2-6	91-96	found	_	_	_	_
2-7	97-99	us	_	_	*->4-1	*[4]
2-8	100-104	some	_	_	_	_
2-9	105-108	new	_	_	_	_
2-10	109-113	jobs	_	_	_	_
2-11	114-115	,	_	_	_	_
2-12	116-119	and	_	_	_	_
2-13	120-122	we	_	_	*->4-2	*[4]
2-14	123-128	start	_	_	_	_
2-15	129-133	this	_	_	_	_
2-16	134-143	afternoon	_	_	_	_
2-17	144-145	!	_	_	_	_

#Text=" 
3-1	146-147	"	_	_	_	_
