#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Main Aang Appa Katara Lao Beifong Master Yu Momo Poppy Beifong Sokka Toph Antagonists Fire Nation Man Headhunter The Big Bad Hippo The Boulder The Gecko The Gopher Xin Fu says : " Minor Earthbending academy teenagers Flyer distribution man " 
1-1	0-4	Main	_	_	_	_
1-2	5-9	Aang	_	_	_	_
1-3	10-14	Appa	_	_	_	_
1-4	15-21	Katara	_	_	_	_
1-5	22-25	Lao	_	_	_	_
1-6	26-33	Beifong	_	_	_	_
1-7	34-40	Master	_	_	_	_
1-8	41-43	Yu	_	_	_	_
1-9	44-48	Momo	_	_	_	_
1-10	49-54	Poppy	_	_	_	_
1-11	55-62	Beifong	_	_	_	_
1-12	63-68	Sokka	_	_	_	_
1-13	69-73	Toph	_	_	_	_
1-14	74-85	Antagonists	_	_	_	_
1-15	86-90	Fire	_	_	_	_
1-16	91-97	Nation	_	_	_	_
1-17	98-101	Man	_	_	_	_
1-18	102-112	Headhunter	_	_	_	_
1-19	113-116	The	_	_	_	_
1-20	117-120	Big	_	_	_	_
1-21	121-124	Bad	_	_	_	_
1-22	125-130	Hippo	_	_	_	_
1-23	131-134	The	_	_	_	_
1-24	135-142	Boulder	_	_	_	_
1-25	143-146	The	_	_	_	_
1-26	147-152	Gecko	_	_	_	_
1-27	153-156	The	_	_	_	_
1-28	157-163	Gopher	*	PER	_	_
1-29	164-167	Xin	*	PER	_	_
1-30	168-170	Fu	*	PER	_	_
1-31	171-175	says	_	_	_	_
1-32	176-177	:	_	_	_	_
1-33	178-179	"	_	_	_	_
1-34	180-185	Minor	_	_	_	_
1-35	186-198	Earthbending	_	_	_	_
1-36	199-206	academy	_	_	_	_
1-37	207-216	teenagers	_	_	_	_
1-38	217-222	Flyer	*	PER	_	_
1-39	223-235	distribution	_	_	_	_
1-40	236-239	man	_	_	_	_
1-41	240-241	"	_	_	_	_
