#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ozai says : " You 've been away for a long time . 
1-1	0-4	Ozai	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	You	_	_	*->2-1	*[2]
1-6	18-21	've	_	_	_	_
1-7	22-26	been	_	_	_	_
1-8	27-31	away	_	_	_	_
1-9	32-35	for	_	_	_	_
1-10	36-37	a	_	_	_	_
1-11	38-42	long	_	_	_	_
1-12	43-47	time	_	_	_	_
1-13	48-49	.	_	_	_	_

#Text=I see the weight of your travels has changed you . 
2-1	50-51	I	_	_	*->1-2	*[1]
2-2	52-55	see	_	_	_	_
2-3	56-59	the	_	_	_	_
2-4	60-66	weight	_	_	_	_
2-5	67-69	of	_	_	_	_
2-6	70-74	your	_	_	*->2-2	*[2]
2-7	75-82	travels	_	_	_	_
2-8	83-86	has	_	_	_	_
2-9	87-94	changed	_	_	_	_
2-10	95-98	you	_	_	*->2-3	*[2]
2-11	99-100	.	_	_	_	_

#Text=You have redeemed yourself , my son . 
3-1	101-104	You	_	_	*->2-4	*[2]
3-2	105-109	have	_	_	_	_
3-3	110-118	redeemed	_	_	_	_
3-4	119-127	yourself	_	_	*->2-5	*[2]
3-5	128-129	,	_	_	_	_
3-6	130-132	my	_	_	*->1-3	*[1]
3-7	133-136	son	_	_	_	_
3-8	137-138	.	_	_	_	_

#Text=Welcome home . 
4-1	139-146	Welcome	_	_	_	_
4-2	147-151	home	_	_	_	_
4-3	152-153	.	_	_	_	_

#Text=" Bato says : " I 'll leave you two alone . 
5-1	154-155	"	_	_	_	_
5-2	156-160	Bato	*	PER	*->4-1	*[4]
5-3	161-165	says	_	_	_	_
5-4	166-167	:	_	_	_	_
5-5	168-169	"	_	_	_	_
5-6	170-171	I	_	_	*->4-2	*[4]
5-7	172-175	'll	_	_	_	_
5-8	176-181	leave	_	_	_	_
5-9	182-185	you	_	_	*->1-4	*[1]
5-10	186-189	two	_	_	_	_
5-11	190-195	alone	_	_	_	_
5-12	196-197	.	_	_	_	_

#Text=" Hakoda says : " What 's wrong , Katara ? 
