#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " What do you know ? 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	What	_	_	_	_
1-6	19-21	do	_	_	_	_
1-7	22-25	you	_	_	_	_
1-8	26-30	know	_	_	_	_
1-9	31-32	?	_	_	_	_

#Text=It did come in handy . 
2-1	33-35	It	_	_	_	_
2-2	36-39	did	_	_	_	_
2-3	40-44	come	_	_	_	_
2-4	45-47	in	_	_	_	_
2-5	48-53	handy	_	_	_	_
2-6	54-55	.	_	_	_	_

#Text=" 
3-1	56-57	"	_	_	_	_
