#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ikki says : " I 'm thirsty ! " 
1-1	0-4	Ikki	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-15	I	_	_	*->1-2	*[1]
1-6	16-18	'm	_	_	_	_
1-7	19-26	thirsty	_	_	_	_
1-8	27-28	!	_	_	_	_
1-9	29-30	"	_	_	_	_

#Text=Meelo says : " I got ta go pee . " 
2-1	31-36	Meelo	*	PER	*->2-1	*[2]
2-2	37-41	says	_	_	_	_
2-3	42-43	:	_	_	_	_
2-4	44-45	"	_	_	_	_
2-5	46-47	I	_	_	*->2-2	*[2]
2-6	48-51	got	_	_	_	_
2-7	52-54	ta	_	_	_	_
2-8	55-57	go	_	_	_	_
2-9	58-61	pee	_	_	_	_
2-10	62-63	.	_	_	_	_
2-11	64-65	"	_	_	_	_

#Text=Daw says : " Me too . " 
3-1	66-69	Daw	*	PER	_	_
3-2	70-74	says	_	_	_	_
3-3	75-76	:	_	_	_	_
3-4	77-78	"	_	_	_	_
3-5	79-81	Me	_	_	*->2-3	*[2]
3-6	82-85	too	_	_	_	_
3-7	86-87	.	_	_	_	_
3-8	88-89	"	_	_	_	_

#Text=Red Lotus sentry # 1 says : " Hey ! 
4-1	90-93	Red	_	_	*->3-1	*[3]
4-2	94-99	Lotus	_	_	*->3-1	*[3]
4-3	100-106	sentry	_	_	*->3-1	*[3]
4-4	107-108	#	_	_	*->3-1	*[3]
4-5	109-110	1	_	_	*->3-1	*[3]
4-6	111-115	says	_	_	*->3-1	*[3]
4-7	116-117	:	_	_	*->3-1	*[3]
4-8	118-119	"	_	_	*->3-1	*[3]
4-9	120-123	Hey	_	_	*->3-1	*[3]
4-10	124-125	!	_	_	*->3-1	*[3]

#Text=Keep it down over there , or you 're all gon na end up like them . 
5-1	126-130	Keep	_	_	_	_
5-2	131-133	it	_	_	*->3-2	*[3]
5-3	134-138	down	_	_	_	_
5-4	139-143	over	_	_	_	_
5-5	144-149	there	_	_	_	_
5-6	150-151	,	_	_	_	_
5-7	152-154	or	_	_	_	_
