#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kuvira says : " Tell the troops and the factory workers to attend tomorrow 's demonstration . 
1-1	0-6	Kuvira	*	PER	*->1-1	*[1]
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-20	Tell	_	_	*->2-1	*[2]
1-6	21-24	the	_	_	*->2-1	*[2]
1-7	25-31	troops	_	_	*->2-1	*[2]
1-8	32-35	and	_	_	*->2-1	*[2]
1-9	36-39	the	_	_	*->2-1	*[2]
1-10	40-47	factory	_	_	*->2-1	*[2]
1-11	48-55	workers	_	_	*->2-1	*[2]
1-12	56-58	to	_	_	_	_
1-13	59-65	attend	_	_	_	_
1-14	66-74	tomorrow	_	_	_	_
1-15	75-77	's	_	_	_	_
1-16	78-91	demonstration	_	_	_	_
1-17	92-93	.	_	_	_	_

#Text=I want them all to witness this incredible new weapon in action . 
2-1	94-95	I	_	_	*->1-2	*[1]
2-2	96-100	want	_	_	_	_
2-3	101-105	them	_	_	*->2-2	*[2]
2-4	106-109	all	_	_	_	_
2-5	110-112	to	_	_	_	_
2-6	113-120	witness	_	_	_	_
2-7	121-125	this	_	_	_	_
2-8	126-136	incredible	_	_	_	_
2-9	137-140	new	_	_	_	_
2-10	141-147	weapon	_	_	_	_
2-11	148-150	in	_	_	_	_
2-12	151-157	action	_	_	_	_
2-13	158-159	.	_	_	_	_

#Text=" 
3-1	160-161	"	_	_	_	_
