#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Excuse me , spirit ? 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-21	Excuse	_	_	_	_
1-6	22-24	me	_	_	*->1-2	*[1]
1-7	25-26	,	_	_	_	_
1-8	27-33	spirit	_	_	_	_
1-9	34-35	?	_	_	_	_

#Text=Can I talk to ... and you 're gone . 
2-1	36-39	Can	_	_	_	_
2-2	40-41	I	_	_	*->1-3	*[1]
2-3	42-46	talk	_	_	_	_
2-4	47-49	to	_	_	_	_
2-5	50-53	...	_	_	_	_
2-6	54-57	and	_	_	_	_
2-7	58-61	you	_	_	_	_
2-8	62-65	're	_	_	_	_
2-9	66-70	gone	_	_	_	_
2-10	71-72	.	_	_	_	_

#Text=Just like all the other spirits . 
3-1	73-77	Just	_	_	_	_
3-2	78-82	like	_	_	_	_
3-3	83-86	all	_	_	_	_
3-4	87-90	the	_	_	_	_
3-5	91-96	other	_	_	_	_
3-6	97-104	spirits	_	_	_	_
3-7	105-106	.	_	_	_	_

#Text=They 're abandoning the city . 
4-1	107-111	They	_	_	_	_
4-2	112-115	're	_	_	_	_
4-3	116-126	abandoning	_	_	_	_
4-4	127-130	the	_	_	_	_
4-5	131-135	city	_	_	_	_
4-6	136-137	.	_	_	_	_

#Text=" 
5-1	138-139	"	_	_	_	_
