#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Lin says : " Radio the second you see those airbenders . " 
1-1	0-3	Lin	*	PER	*->2-1	*[2]
1-2	4-8	says	_	_	_	_
1-3	9-10	:	_	_	_	_
1-4	11-12	"	_	_	_	_
1-5	13-18	Radio	_	_	_	_
1-6	19-22	the	_	_	_	_
1-7	23-29	second	_	_	_	_
1-8	30-33	you	_	_	_	_
1-9	34-37	see	_	_	_	_
1-10	38-43	those	_	_	*->4-1	*[4]
1-11	44-54	airbenders	_	_	*->4-1	*[4]
1-12	55-56	.	_	_	_	_
1-13	57-58	"	_	_	_	_

#Text=Mako says : " I will , Chief . 
2-1	59-63	Mako	*	PER	*->5-1	*[5]
2-2	64-68	says	_	_	_	_
2-3	69-70	:	_	_	_	_
2-4	71-72	"	_	_	_	_
2-5	73-74	I	_	_	*->5-2	*[5]
2-6	75-79	will	_	_	_	_
2-7	80-81	,	_	_	_	_
2-8	82-87	Chief	_	_	*->6-1	*[6]
2-9	88-89	.	_	_	_	_

#Text=Good luck . 
3-1	90-94	Good	_	_	_	_
3-2	95-99	luck	_	_	_	_
3-3	100-101	.	_	_	_	_

#Text=" Asami says : " Be careful , Korra . 
4-1	102-103	"	_	_	_	_
4-2	104-109	Asami	*	PER	*->7-1	*[7]
4-3	110-114	says	_	_	_	_
4-4	115-116	:	_	_	_	_
4-5	117-118	"	_	_	_	_
4-6	119-121	Be	_	_	_	_
4-7	122-129	careful	_	_	_	_
4-8	130-131	,	_	_	_	_
4-9	132-137	Korra	*	PER	_	_
4-10	138-139	.	_	_	_	_

#Text=" Korra says : " You too . 
5-1	140-141	"	_	_	_	_
5-2	142-147	Korra	*	PER	_	_
5-3	148-152	says	_	_	_	_
5-4	153-154	:	_	_	_	_
5-5	155-156	"	_	_	_	_
5-6	157-160	You	_	_	*->7-2	*[7]
5-7	161-164	too	_	_	_	_
5-8	165-166	.	_	_	_	_

#Text=" Tonraq says : " Korra . 
