#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Suyin says : " She 's alone in there . 
1-1	0-5	Suyin	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	She	_	_	_	_
1-6	19-21	's	_	_	_	_
1-7	22-27	alone	_	_	_	_
1-8	28-30	in	_	_	_	_
1-9	31-36	there	_	_	_	_
1-10	37-38	.	_	_	_	_

#Text=Now 's our chance ! 
2-1	39-42	Now	_	_	_	_
2-2	43-45	's	_	_	_	_
2-3	46-49	our	_	_	_	_
2-4	50-56	chance	_	_	_	_
2-5	57-58	!	_	_	_	_

#Text=" 
3-1	59-60	"	_	_	_	_
