#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " It 's so good to see you ! " 
1-1	0-5	Korra	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-17	It	_	_	_	_
1-6	18-20	's	_	_	_	_
1-7	21-23	so	_	_	_	_
1-8	24-28	good	_	_	_	_
1-9	29-31	to	_	_	_	_
1-10	32-35	see	_	_	_	_
1-11	36-39	you	_	_	_	_
1-12	40-41	!	_	_	_	_
1-13	42-43	"	_	_	_	_

#Text=Tenzin says : " How have you been , Korra ? 
2-1	44-50	Tenzin	*	PER	*->2-1	*[2]
2-2	51-55	says	_	_	_	_
2-3	56-57	:	_	_	_	_
2-4	58-59	"	_	_	_	_
2-5	60-63	How	_	_	_	_
2-6	64-68	have	_	_	_	_
2-7	69-72	you	_	_	*->3-1	*[3]
2-8	73-77	been	_	_	_	_
2-9	78-79	,	_	_	_	_
2-10	80-85	Korra	*	PER	_	_
2-11	86-87	?	_	_	_	_

#Text=You look great ! 
3-1	88-91	You	_	_	*->3-2	*[3]
3-2	92-96	look	_	_	_	_
3-3	97-102	great	_	_	_	_
3-4	103-104	!	_	_	_	_

#Text=" Korra says : " I feel great ! 
4-1	105-106	"	_	_	_	_
4-2	107-112	Korra	*	PER	_	_
4-3	113-117	says	_	_	_	_
4-4	118-119	:	_	_	_	_
4-5	120-121	"	_	_	_	_
4-6	122-123	I	_	_	_	_
4-7	124-128	feel	_	_	_	_
4-8	129-134	great	_	_	_	_
4-9	135-136	!	_	_	_	_

#Text=Come on , I want to show you how much better I 'm doing . 
5-1	137-141	Come	_	_	_	_
5-2	142-144	on	_	_	_	_
5-3	145-146	,	_	_	_	_
5-4	147-148	I	_	_	_	_
5-5	149-153	want	_	_	_	_
5-6	154-156	to	_	_	_	_
5-7	157-161	show	_	_	_	_
5-8	162-165	you	_	_	*->4-1	*[4]
5-9	166-169	how	_	_	_	_
5-10	170-174	much	_	_	_	_
5-11	175-181	better	_	_	_	_
5-12	182-183	I	_	_	_	_
5-13	184-186	'm	_	_	_	_
5-14	187-192	doing	_	_	_	_
5-15	193-194	.	_	_	_	_

#Text=" Korra says : " Attack ! 
6-1	195-196	"	_	_	*->1-1	*[1]
6-2	197-202	Korra	*	PER	*->1-1	*[1]
6-3	203-207	says	_	_	_	_
6-4	208-209	:	_	_	_	_
6-5	210-211	"	_	_	_	_
6-6	212-218	Attack	_	_	_	_
6-7	219-220	!	_	_	_	_

#Text=I can take it ! 
7-1	221-222	I	_	_	*->1-8	*[1]
7-2	223-226	can	_	_	_	_
7-3	227-231	take	_	_	_	_
7-4	232-234	it	_	_	_	_
7-5	235-236	!	_	_	_	_

#Text=" Tenzin says : " All right ! 
8-1	237-238	"	_	_	_	_
8-2	239-245	Tenzin	*	PER	*->2-2	*[2]
8-3	246-250	says	_	_	_	_
8-4	251-252	:	_	_	_	_
8-5	253-254	"	_	_	_	_
8-6	255-258	All	_	_	_	_
8-7	259-264	right	_	_	_	_
8-8	265-266	!	_	_	_	_

#Text=The sparring match is over ! 
9-1	267-270	The	_	_	_	_
9-2	271-279	sparring	_	_	_	_
9-3	280-285	match	_	_	_	_
9-4	286-288	is	_	_	_	_
9-5	289-293	over	_	_	_	_
9-6	294-295	!	_	_	_	_

#Text=" Korra says : " I thought I was ready . 
10-1	296-297	"	_	_	_	_
10-2	298-303	Korra	*	PER	*->1-9	*[1]
10-3	304-308	says	_	_	_	_
10-4	309-310	:	_	_	_	_
10-5	311-312	"	_	_	_	_
10-6	313-314	I	_	_	*->1-10	*[1]
10-7	315-322	thought	_	_	_	_
10-8	323-324	I	_	_	*->1-11	*[1]
10-9	325-328	was	_	_	_	_
10-10	329-334	ready	_	_	_	_
10-11	335-336	.	_	_	_	_

#Text=" Tenzin says : " There is no shame in taking the time you need to make a full recovery . 
11-1	337-338	"	_	_	_	_
11-2	339-345	Tenzin	*	PER	*->2-3	*[2]
11-3	346-350	says	_	_	_	_
11-4	351-352	:	_	_	_	_
11-5	353-354	"	_	_	_	_
11-6	355-360	There	_	_	_	_
11-7	361-363	is	_	_	_	_
11-8	364-366	no	_	_	_	_
11-9	367-372	shame	_	_	_	_
11-10	373-375	in	_	_	_	_
11-11	376-382	taking	_	_	_	_
11-12	383-386	the	_	_	_	_
11-13	387-391	time	_	_	_	_
11-14	392-395	you	_	_	_	_
11-15	396-400	need	_	_	_	_
11-16	401-403	to	_	_	_	_
11-17	404-408	make	_	_	_	_
11-18	409-410	a	_	_	_	_
11-19	411-415	full	_	_	_	_
11-20	416-424	recovery	_	_	_	_
11-21	425-426	.	_	_	_	_

#Text=Being the Avatar can wait . 
12-1	427-432	Being	_	_	_	_
12-2	433-436	the	_	_	_	_
12-3	437-443	Avatar	_	_	_	_
12-4	444-447	can	_	_	_	_
12-5	448-452	wait	_	_	_	_
12-6	453-454	.	_	_	_	_

#Text=" Korra says : " But what about the Earth Kingdom ? 
13-1	455-456	"	_	_	_	_
13-2	457-462	Korra	*	PER	*->1-12	*[1]
13-3	463-467	says	_	_	_	_
13-4	468-469	:	_	_	_	_
13-5	470-471	"	_	_	_	_
13-6	472-475	But	_	_	*->5-1	*[5]
13-7	476-480	what	_	_	*->5-1	*[5]
13-8	481-486	about	_	_	*->5-1	*[5]
13-9	487-490	the	_	_	*->5-1	*[5]
13-10	491-496	Earth	_	_	*->5-1	*[5]
13-11	497-504	Kingdom	_	_	*->5-1	*[5]
13-12	505-506	?	_	_	_	_

#Text=I hear it 's still a mess out there . 
14-1	507-508	I	_	_	*->1-13	*[1]
14-2	509-513	hear	_	_	_	_
14-3	514-516	it	_	_	*->5-2	*[5]
14-4	517-519	's	_	_	_	_
14-5	520-525	still	_	_	_	_
14-6	526-527	a	_	_	*->5-3	*[5]
14-7	528-532	mess	_	_	*->5-3	*[5]
14-8	533-536	out	_	_	_	_
14-9	537-542	there	_	_	_	_
14-10	543-544	.	_	_	_	_

#Text=" Tenzin says : " The situation has been stabilizing since Kuvira took charge . 
15-1	545-546	"	_	_	_	_
15-2	547-553	Tenzin	*	PER	*->2-4	*[2]
15-3	554-558	says	_	_	_	_
15-4	559-560	:	_	_	_	_
15-5	561-562	"	_	_	_	_
15-6	563-566	The	_	_	*->7-1	*[7]
15-7	567-576	situation	_	_	*->7-1	*[7]
15-8	577-580	has	_	_	_	_
15-9	581-585	been	_	_	_	_
15-10	586-597	stabilizing	_	_	_	_
15-11	598-603	since	_	_	_	_
15-12	604-610	Kuvira	*	PER	*->6-1	*[6]
15-13	611-615	took	_	_	_	_
15-14	616-622	charge	_	_	_	_
15-15	623-624	.	_	_	_	_

#Text=" Korra says : " But that should be me out there fixing things , not her . 
16-1	625-626	"	_	_	_	_
16-2	627-632	Korra	*	PER	*->1-14	*[1]
16-3	633-637	says	_	_	_	_
16-4	638-639	:	_	_	_	_
16-5	640-641	"	_	_	_	_
16-6	642-645	But	_	_	_	_
16-7	646-650	that	_	_	*->7-2	*[7]
16-8	651-657	should	_	_	_	_
16-9	658-660	be	_	_	_	_
16-10	661-663	me	_	_	*->1-15	*[1]
16-11	664-667	out	_	_	_	_
16-12	668-673	there	_	_	_	_
16-13	674-680	fixing	_	_	_	_
16-14	681-687	things	_	_	_	_
16-15	688-689	,	_	_	_	_
16-16	690-693	not	_	_	_	_
16-17	694-697	her	_	_	*->6-2	*[6]
16-18	698-699	.	_	_	_	_

#Text=" Tenzin says : " I know you want to help . 
17-1	700-701	"	_	_	_	_
17-2	702-708	Tenzin	*	PER	*->2-5	*[2]
17-3	709-713	says	_	_	_	_
17-4	714-715	:	_	_	_	_
17-5	716-717	"	_	_	_	_
17-6	718-719	I	_	_	*->2-6	*[2]
17-7	720-724	know	_	_	_	_
17-8	725-728	you	_	_	*->8-1	*[8]
17-9	729-733	want	_	_	_	_
17-10	734-736	to	_	_	_	_
17-11	737-741	help	_	_	_	_
17-12	742-743	.	_	_	_	_

#Text=But trust me , everyone has this under control . 
18-1	744-747	But	_	_	_	_
18-2	748-753	trust	_	_	_	_
18-3	754-756	me	_	_	*->2-7	*[2]
18-4	757-758	,	_	_	_	_
18-5	759-767	everyone	_	_	_	_
18-6	768-771	has	_	_	_	_
18-7	772-776	this	_	_	_	_
18-8	777-782	under	_	_	_	_
18-9	783-790	control	_	_	_	_
18-10	791-792	.	_	_	_	_

#Text=I just think you need to ... " Korra says : " If you say , " be patient " , I swear I 'm gon na water - smack you in the mouth ! 
19-1	793-794	I	_	_	*->2-8	*[2]
19-2	795-799	just	_	_	_	_
19-3	800-805	think	_	_	_	_
19-4	806-809	you	_	_	*->8-2	*[8]
19-5	810-814	need	_	_	_	_
19-6	815-817	to	_	_	_	_
