#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Wake up , Naga . 
1-1	0-5	Korra	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Wake	_	_	_	_
1-6	20-22	up	_	_	_	_
1-7	23-24	,	_	_	_	_
1-8	25-29	Naga	_	_	*->1-1	*[1]
1-9	30-31	.	_	_	_	_

#Text=Let 's go . 
2-1	32-35	Let	_	_	_	_
2-2	36-38	's	_	_	*->1-2	*[1]
2-3	39-41	go	_	_	_	_
2-4	42-43	.	_	_	_	_

#Text=" 
3-1	44-45	"	_	_	_	_
