#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Wait for me here , girl . 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Wait	_	_	_	_
1-6	20-23	for	_	_	_	_
1-7	24-26	me	_	_	*->1-2	*[1]
1-8	27-31	here	_	_	_	_
1-9	32-33	,	_	_	_	_
1-10	34-38	girl	_	_	_	_
1-11	39-40	.	_	_	_	_

#Text=Do n't worry , I 'll be all right . 
2-1	41-43	Do	_	_	_	_
2-2	44-47	n't	_	_	_	_
2-3	48-53	worry	_	_	_	_
2-4	54-55	,	_	_	_	_
2-5	56-57	I	_	_	*->1-3	*[1]
2-6	58-61	'll	_	_	_	_
2-7	62-64	be	_	_	_	_
2-8	65-68	all	_	_	_	_
2-9	69-74	right	_	_	_	_
2-10	75-76	.	_	_	_	_

#Text=" 
3-1	77-78	"	_	_	_	_
