#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Pema says : " It 's too dangerous . 
1-1	0-4	Pema	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	It	_	_	*->1-1	*[1]
1-6	17-19	's	_	_	_	_
1-7	20-23	too	_	_	_	_
1-8	24-33	dangerous	_	_	_	_
1-9	34-35	.	_	_	_	_

#Text=We 'll never make it to the stables with her up there . 
2-1	36-38	We	_	_	_	_
2-2	39-42	'll	_	_	_	_
2-3	43-48	never	_	_	_	_
2-4	49-53	make	_	_	_	_
2-5	54-56	it	_	_	*->1-2	*[1]
2-6	57-59	to	_	_	_	_
2-7	60-63	the	_	_	_	_
2-8	64-71	stables	_	_	_	_
2-9	72-76	with	_	_	_	_
2-10	77-80	her	_	_	_	_
2-11	81-83	up	_	_	_	_
2-12	84-89	there	_	_	_	_
2-13	90-91	.	_	_	_	_

#Text=" 
3-1	92-93	"	_	_	_	_
