#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " The spirit portal . 
1-1	0-5	Korra	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	The	_	_	_	_
1-6	19-25	spirit	_	_	_	_
1-7	26-32	portal	_	_	_	_
1-8	33-34	.	_	_	_	_

#Text=Amazing . 
2-1	35-42	Amazing	_	_	_	_
2-2	43-44	.	_	_	_	_

#Text=" 
3-1	45-46	"	_	_	_	_
