#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Opal says : " Hello , Pabu . 
1-1	0-4	Opal	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Hello	_	_	_	_
1-6	20-21	,	_	_	_	_
1-7	22-26	Pabu	_	_	*->1-1	*[1]
1-8	27-28	.	_	_	_	_

#Text=Well , it 's good to see you , too . 
2-1	29-33	Well	_	_	_	_
2-2	34-35	,	_	_	_	_
2-3	36-38	it	_	_	*->1-2	*[1]
2-4	39-41	's	_	_	_	_
2-5	42-46	good	_	_	_	_
2-6	47-49	to	_	_	_	_
2-7	50-53	see	_	_	_	_
2-8	54-57	you	_	_	*->2-1	*[2]
2-9	58-59	,	_	_	_	_
2-10	60-63	too	_	_	_	_
2-11	64-65	.	_	_	_	_

#Text=What do you got there ? 
3-1	66-70	What	_	_	_	_
3-2	71-73	do	_	_	_	_
3-3	74-77	you	_	_	*->2-2	*[2]
3-4	78-81	got	_	_	_	_
3-5	82-87	there	_	_	_	_
3-6	88-89	?	_	_	_	_

#Text=" 
4-1	90-91	"	_	_	_	_
