#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kai says : " Wow . 
1-1	0-3	Kai	*	PER	_	_
1-2	4-8	says	_	_	_	_
1-3	9-10	:	_	_	_	_
1-4	11-12	"	_	_	_	_
1-5	13-16	Wow	_	_	_	_
1-6	17-18	.	_	_	_	_

#Text=Now this is more like it . 
2-1	19-22	Now	_	_	_	_
2-2	23-27	this	_	_	*->1-1	*[1]
2-3	28-30	is	_	_	_	_
2-4	31-35	more	_	_	_	_
2-5	36-40	like	_	_	_	_
2-6	41-43	it	_	_	*->1-2	*[1]
2-7	44-45	.	_	_	_	_

#Text=" 
3-1	46-47	"	_	_	_	_
